"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"HMDB0000715","Kynurenic acid","HMDB0000715","3845","C01717","OC(=O)C1=CC(=O)C2=CC=CC=C2N1","1"
"HMDB0000881","Xanthurenic acid","HMDB0000881","5699","C02470","OC(=O)C1=NC2=C(O)C=CC=C2C(O)=C1","1"
"HMDB0000870","Histamine","HMDB0000870","774","C00388","NCCC1=CNC=N1","1"
"HMDB0000630","Cytosine","HMDB0000630","597","C00380","NC1=CC=NC(=O)N1","1"
"HMDB0002820","Methylimidazoleacetic acid","HMDB0002820","75810","C05828","CN1C=NC(CC(O)=O)=C1","1"
"HMDB0004988","Pi-Methylimidazoleacetic acid","HMDB0004988","6451814",NA,"CN1C=NC=C1CC(O)=O","1"
"HMDB0013253","N-Acetylhistamine","HMDB0013253","69602","C05135","CC(=O)NCCC1=CN=CN1","1"
"HMDB0031641","Pyrrolidine","HMDB0031641","31268",NA,"C1CCNC1","1"
"HMDB0000875","Trigonelline","HMDB0000875","5570","C01004","C[N+]1=CC=CC(=C1)C([O-])=O","1"
"HMDB0001406","Niacinamide","HMDB0001406","936","C00153","NC(=O)C1=CC=CN=C1","1"
"HMDB0001431","Pyridoxamine","HMDB0001431","1052","C00534","CC1=C(O)C(CN)=C(CO)C=N1","1"
"HMDB0001488","Nicotinic acid","HMDB0001488","938","C00253","OC(=O)C1=CN=CC=C1","1"
"HMDB0001545","Pyridoxal","HMDB0001545","1050","C00250","CC1=NC=C(CO)C(C=O)=C1O","1"
"HMDB0000239","Pyridoxine","HMDB0000239","1054","C00314","CC1=C(O)C(CO)=C(CO)C=N1","1"
"HMDB0000017","4-Pyridoxic acid","HMDB0000017","6723","C00847","CC1=NC=C(CO)C(C(O)=O)=C1O","1"
"HMDB0002189","N8-Acetylspermidine","HMDB0002189","123689","C01029","CC(=O)NCCCCNCCCN","1"
"HMDB0002284","N-Acetylcadaverine","HMDB0002284","189087",NA,"CC(=O)NCCCCCN","1"
"HMDB0041947","N1,N8-Diacetylspermidine","HMDB0041947","389613",NA,"CC(=O)NCCCCNCCCNC(C)=O","1"
"HMDB0002172","N1,N12-Diacetylspermine","HMDB0002172","132680","C03413","CC(=O)NCCCNCCCCNCCCNC(C)=O","1"
"HMDB0004827","Proline betaine","HMDB0004827","115244","C10172","C[N+]1(C)CCC[C@H]1C([O-])=O","1"
"HMDB0006548","Ecgonine","HMDB0006548","443003","C10858","CN1C2CCC1[C@H]([C@@H](O)C2)C(O)=O","1"
"HMDB0000132","Guanine","HMDB0000132","764","C00242","NC1=NC(=O)C2=C(N1)N=CN2","1"
"HMDB0000262","Thymine","HMDB0000262","1135","C00178","CC1=CNC(=O)NC1=O","1"
"HMDB0001248","FAD","HMDB0001248","643975","C00016","CC1=CC2=C(C=C1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC3=C1N=CN=C3N)C1=NC(=O)NC(=O)C1=N2","1"
"HMDB0001354","5,10-Methenyltetrahydrofolic acid","HMDB0001354","135450599","C00445","[H][C@@]12CN(C=[N+]1C1=C(NC2)NC(N)=NC1=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCC(O)=O)C([O-])=O","1"
"HMDB0000157","Hypoxanthine","HMDB0000157","790","C00262","OC1=NC=NC2=C1NC=N2","1"
"HMDB0000034","Adenine","HMDB0000034","190","C00147","NC1=C2NC=NC2=NC=N1","1"
"HMDB0011600","3-Methyladenine","HMDB0011600","1673","C00913","CN1C=NC(N)=C2N=CN=C12","1"
"HMDB0001182","6,8-Dihydroxypurine","HMDB0001182","83252",NA,"O=C1NC2=C(N1)C(=O)N=CN2","1"
"HMDB0031402","23-Acetoxysoladulcidine","HMDB0031402","131751167",NA,"CC1C2C(CC3C4CCC5CC(O)CCC5(C)C4CCC23C)OC11NCC(C)CC1OC(C)=O","1"
"HMDB0029444","2-Pyrrolidineacetic acid","HMDB0029444","2761541",NA,"OC(=O)C[C@@H]1CCCN1","1"
"HMDB0000259","Serotonin","HMDB0000259","5202","C00780","NCCC1=CNC2=C1C=C(O)C=C2","1"
"HMDB0000763","5-Hydroxyindoleacetic acid","HMDB0000763","1826","C05635","OC(=O)CC1=CNC2=C1C=C(O)C=C2","1"
"HMDB0000671","Indolelactic acid","HMDB0000671","676157","C02043","O[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O","1"
"HMDB0000197","Indoleacetic acid","HMDB0000197","802","C00954","OC(=O)CC1=CNC2=C1C=CC=C2","1"
"HMDB0002302","Indole-3-propionic acid","HMDB0002302","3744",NA,"OC(=O)CCC1=CNC2=C1C=CC=C2","1"
"HMDB0004067","Leucodopachrome","HMDB0004067","161255","C05604","OC(=O)[C@@H]1CC2=CC(O)=C(O)C=C2N1","1"
"HMDB0000292","Xanthine","HMDB0000292","1188","C00385","O=C1NC2=C(NC=N2)C(=O)N1","1"
"HMDB0002894","5-Methylcytosine","HMDB0002894","65040","C02376","CC1=C(N)NC(=O)N=C1","1"
"HMDB0013031","O2'-4a-cyclic-tetrahydrobiopterin","HMDB0013031","53481451",NA,"C[C@H]1OC23NC(CNC2=NC(N)=NC3=O)[C@H]1O","1"
"HMDB0004157","Stercobilinogen","HMDB0004157","9548718","C05789","[H][C@@]1(CC2=C(C)C(CCC(O)=O)=C(CC3=C(CCC(O)=O)C(C)=C(C[C@]4([H])NC(=O)[C@H](C)[C@H]4CC)N3)N2)NC(=O)[C@H](CC)[C@H]1C","1"
"HMDB0003355","5-Aminopentanoic acid","HMDB0003355","138","C00431","NCCCCC(O)=O","1"
"HMDB0000991","DL-2-Aminooctanoic acid","HMDB0000991","69522",NA,"CCCCCCC(N)C(O)=O","1"
"HMDB0004195","5-L-Glutamyl-taurine","HMDB0004195","68759","C05844","N[C@@H](CCC(=O)NCCS(O)(=O)=O)C(O)=O","1"
"HMDB0000192","L-Cystine","HMDB0000192","67678","C00491","N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O","1"
"HMDB0000123","Glycine","HMDB0000123","750","C00037","NCC(O)=O","1"
"HMDB0000641","Glutamine","HMDB0000641","5961","C00064","N[C@@H](CCC(N)=O)C(O)=O","1"
"HMDB0000070","Pipecolic acid","HMDB0000070","849","C00408","OC(=O)C1CCCCN1","1"
"HMDB0000148","Glutamic acid","HMDB0000148","33032","C00025","N[C@@H](CCC(O)=O)C(O)=O","1"
"HMDB0000279","Saccharopine","HMDB0000279","160556","C00449","N[C@@H](CCCCN[C@@H](CCC(O)=O)C(O)=O)C(O)=O","1"
"HMDB0000904","Citrulline","HMDB0000904","9750","C00327","N[C@@H](CCCNC(N)=O)C(O)=O","1"
"HMDB0000043","Betaine","HMDB0000043","247","C00719","C[N+](C)(C)CC(O)=O","1"
"HMDB0000517","L-Arginine","HMDB0000517","6322","C00062","N[C@@H](CCCNC(N)=N)C(O)=O","1"
"HMDB0000162","Proline","HMDB0000162","145742","C00148","OC(=O)[C@@H]1CCCN1","1"
"HMDB0000510","Aminoadipic acid","HMDB0000510","92136","C00956","N[C@@H](CCCC(O)=O)C(O)=O","1"
"HMDB0001325","N6,N6,N6-Trimethyl-L-lysine","HMDB0001325","440120","C03793","C[N+](C)(C)CCCC[C@H](N)C([O-])=O","1"
"HMDB0013222","Guanidinopropionic acid","HMDB0013222","67701","C03065","NC(=N)NCCC(O)=O","1"
"HMDB0029423","Acetylhomoserine","HMDB0029423","528","C01077","CC(=O)OCCC(N)C(O)=O","1"
"HMDB0001539","Asymmetric dimethylarginine","HMDB0001539","123831","C03626","N[C@@H](CCC\N=C(/N)N(C)C)C(O)=O","1"
"HMDB0000805","NA","NA","NA","NA","NA","0"
"HMDB0001149","5-Aminolevulinic acid","HMDB0001149","137","C00430","NCC(=O)CCC(O)=O","1"
"HMDB0000696","Methionine","HMDB0000696","6137","C00073","CSCC[C@H](N)C(O)=O","1"
"HMDB0002201","N-Carboxyethyl-g-aminobutyric acid","HMDB0002201","2572",NA,"OC(=O)CCCNCCC(O)=O","1"
"HMDB0028952","Lysylhydroxyproline","HMDB0028952","68578696",NA,"NCCCC[C@H](N)C(=O)N1C[C@H](O)C[C@H]1C(O)=O","1"
"HMDB0003464","4-Guanidinobutanoic acid","HMDB0003464","500","C01035","NC(=N)NCCCC(O)=O","1"
"HMDB0000684","Kynurenine","HMDB0000684","161166","C00328","N[C@@H](CC(=O)C1=CC=CC=C1N)C(O)=O","1"
"HMDB0000158","L-Tyrosine","HMDB0000158","6057","C00082","N[C@@H](CC1=CC=C(O)C=C1)C(O)=O","1"
"HMDB0000267","Pyroglutamic acid","HMDB0000267","7405","C01879","OC(=O)[C@@H]1CCC(=O)N1","1"
"HMDB0028974","Methionylhydroxyproline","HMDB0028974","69040786",NA,"CSCC[C@H](N)C(=O)N1C[C@H](O)C[C@H]1C(O)=O","1"
"HMDB0001859","Acetaminophen","HMDB0001859","1983","C06804","CC(=O)NC1=CC=C(O)C=C1","1"
"HMDB0028886","Histidylhydroxyproline","HMDB0028886","9900059",NA,"N[C@@H](CC1=CNC=N1)C(=O)N1C[C@H](O)C[C@H]1C(O)=O","1"
"HMDB0030396","(±)-Tryptophan","HMDB0030396","1148","C00806","NC(CC1=CNC2=C1C=CC=C2)C(O)=O","1"
"HMDB0029061","Threonylglycine","HMDB0029061","7010575",NA,"C[C@@H](O)[C@H](N)C(=O)NCC(O)=O","1"
"HMDB0028795","Glutaminylglutamine","HMDB0028795","7010587",NA,"N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(O)=O","1"
